댓글 ID,채널 ID,댓글 생성 타임스탬프,가격,상위 댓글 ID,게시물 ID,동영상 ID,댓글 텍스트,최상위 댓글 ID
Ugyi0kjdlXUQPxJckjF4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-05-04T00:42:56.69121+00:00,0,,,DzCY9zQJjiE,"{""text"":""자살을 결심한친구에게는 먹을것과 다른관심사를 유도한다\r""},{""text"":""\n""},{""text"":""\r""},{""text"":""\n""},{""text"":""그러므로 친구에게 먹을걸 얻어먹고 싶거나 관심을 받고싶다면 처음보는애한테전화해서 \r""},{""text"":""\n""},{""text"":""\r""},{""text"":""\n""},{""text"":""먹을걸 얻어먹도록한다.""}",
UgxN8M-Sob8b7tFdeuF4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-05-03T08:35:25.48948+00:00,0,,,cvSyFCJ8OUc,"{""text"":""정식음원은 생각이 없으시나요?""}",
Ugwihh9lVUsQnwZAwWt4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-04-23T00:45:51.08738+00:00,0,,,le-Svz2saSs,"{""text"":""아 드라마 제작했으면 좋겠다""}",
UgwmG02DzVW7iSIJX8V4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-04-22T08:47:51.263872+00:00,0,,,UCfzaLdJM5Y,"{""text"":""드디어 질렀습니다를 드디어 잘렸습니다로 잘못 봤어요 죄송합니다""}",
UgyLcjiDgDbz-XfEcYB4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-04-19T18:14:15.234249+00:00,0,,,hK386J8c3Ek,"{""text"":""삶과 고벌의 명복을 빕니다 수박아 고마워""}",
UgxDiqWenidZst6U2ft4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-04-19T08:32:52.04524+00:00,0,,,3RCnvuPNhPY,"{""text"":""이건 섬네일러한테 개런티를 줘야한다!""}",
UgxCUaV1z7evrPMFfCR4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-04-17T19:48:20.530247+00:00,0,,,xd0cUWhUNtA,"{""text"":""03:22"",""videoLink"":{""externalVideoId"":""xd0cUWhUNtA"",""startTimeSeconds"":202}},{""text"":"" 유진쓰""}",
UgwsQubVmJQPDRG718B4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-04-14T16:39:54.994517+00:00,0,,,eXJBaV89PsQ,"{""text"":""심리학과는 모두 성격이 글라세님 같나요? ""},{""text"":""\n""},{""text"":""내가 아는사람이랑 성격이 똑같네요""}",
UgzppIdozTq00xIaolF4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-04-11T18:28:09.088882+00:00,0,,,1PBKHne_Qhc,"{""text"":""05:38"",""videoLink"":{""externalVideoId"":""1PBKHne_Qhc"",""startTimeSeconds"":338}},{""text"":"" 던지지마아~!""}",
UgyGVU-ZtmnsB4W1m5d4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-04-05T12:22:46.648258+00:00,0,,,naFOz27Uvy4,"{""text"":""이거는 나초님탓이 아니죠 제생각에는 나초님이 예그리나길드장께서 스틸영상에 나왔으니 '이건 물어볼것도 없다'라고 생각하셨다고 생각해요""}",
