댓글 ID,채널 ID,댓글 생성 타임스탬프,가격,상위 댓글 ID,게시물 ID,동영상 ID,댓글 텍스트,최상위 댓글 ID
UgwbAkDeYBYe6K66wDx4AaABAg.9H1W5MNh-909H2fRg6CIkT,UCuGz8hZspvz_sC0P4DLUL8Q,2020-12-09T14:40:55.040754+00:00,0,UgwbAkDeYBYe6K66wDx4AaABAg.9H1W5MNh-909H2e8faXTMC,,EFllnPXh9m0,"{""text"":""@박쥐찬"",""mention"":{""externalChannelId"":""UCOxzoLYcs7Xm_oOe3UnMhKg""}},{""text"":"" 저도 친구랑 옵투타고 1시간이면 끝날준작을 옵원이랑 스크램제트탄다고 2시간만에 끝내서 욕먹음""}",UgwbAkDeYBYe6K66wDx4AaABAg
UgzcYZbAmMc3quQq5CB4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-12-09T12:25:23.327118+00:00,0,,,qiGaEUnB0Ok,"{""text"":""다음에는 숙주를....""}",
UgwbAkDeYBYe6K66wDx4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-12-09T03:51:15.121973+00:00,0,,,EFllnPXh9m0,"{""text"":""옵막투가 질리니까 옛날 개똥차를 찾는지경까지 됐죠. 실제로 저도 옵막투질려서 옵원이랑 스크렘제트타고 날라댕깁니다. 바티801도 탈만하고요. 시작한지 6개월도 안된게임에서 350시간을 찍으면서 고일줄은 더더욱 몰랐고요""}",
UgwKSsaOEAO_oRDyz314AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-12-08T04:47:10.927725+00:00,0,,UgzUSKlzdKBk_LPFPg54AaABCQ,,"{""text"":""저도 특정그룹에 팬인 사람으로써 조금 불편했습니다. 왜냐하면 개인적으로 특정그룹의 팬들에게 '해체'라는 단어와 '조작'이라는 단어가 조금 불편하게 받아들일 수 있고, 그 단어들로 민감해질 수 있다고 생각합니다. 하지만 비방하려는 의도가 아니고 단지 저희 그룹의 팬이 무개념이라서 죄송하다고 말씀드리고 싶습니다""}",
Ugz0Bukrkd8tl8UsqH54AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-12-01T18:54:46.612733+00:00,0,,,nA55KZ6oA2A,"{""text"":""3:10"",""videoLink"":{""externalVideoId"":""nA55KZ6oA2A"",""startTimeSeconds"":190}},{""text"":"" 북조선인에다가 반갑다우 겁나 귀엽다""}",
UgwKQbLfI7YCXq6Bfax4AaABAg.9FdXXq92pEH9FdfelK1qjJ,UCuGz8hZspvz_sC0P4DLUL8Q,2020-11-04T15:51:11.56029+00:00,0,UgwKQbLfI7YCXq6Bfax4AaABAg,,GzCZodCzJ5U,"{""text"":""정신적이유로 빠졌다고 봤었어요""}",UgwKQbLfI7YCXq6Bfax4AaABAg
Ugyw3GytxyVa_Aw7GFt4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-11-04T15:50:35.439384+00:00,0,,,GzCZodCzJ5U,"{""text"":""왜 역대앨범중에 가장 춤이 힘든거같죠?""}",
UgyZ_8p0SgHXMnVu3CN4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-10-23T08:40:34.27849+00:00,0,,,qQLklntYqTg,"{""text"":""08:58"",""videoLink"":{""externalVideoId"":""qQLklntYqTg"",""startTimeSeconds"":538}},{""text"":"" 플님 약간 지성 닮아서 괜찮을듯해요""}",
UgxJcUCYM6ly0JUryzB4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-10-20T04:42:32.946149+00:00,0,,UgzkYym4OwROIGj5Csx4AaABCQ,,"{""text"":""아 현고딩인데 ㅁ 한자 밖에모름""}",
Ugw1IYOqFWjIBy6_r1x4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-10-05T02:43:28.698327+00:00,0,,UgwDJT75tk4eMFH0LAF4AaABCQ,,"{""text"":""?""}",
Ugw-1_SDmQpP39db2bd4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-09-08T11:17:30.212504+00:00,0,,,qU1s_5cNE1A,"{""text"":""25:06"",""videoLink"":{""externalVideoId"":""qU1s_5cNE1A"",""startTimeSeconds"":1506}},{""text"":"" 여기는 사진인화실같은데요""},{""text"":""\n""},{""text"":""사진인화할때 백색광이나 전력이센 그러니까 밝은 불은 사진의 색을 바랜다고 해서 적외선으로합니다""},{""text"":""\n""},{""text"":""그래서 까맣고 빛이 적은겁니다""}",
UgxBgvIRfl4_WdtzPzF4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-08-31T09:58:05.218443+00:00,0,,,R1hpYs6vmYA,"{""text"":""지옥은 물설치가 안돼잖아요""}",
Ugx01zkjadkiUl80vdl4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-08-29T13:34:22.481429+00:00,0,,,WVvxM5FDEJE,"{""text"":""4:26"",""videoLink"":{""externalVideoId"":""WVvxM5FDEJE"",""startTimeSeconds"":266}},{""text"":"" -메-하던 사람인데 개놀랬다""}",
UgwszehJ94d7O4xkz9Z4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-08-27T17:00:03.767718+00:00,0,,,kQwasQzWk7w,"{""text"":""위즈원!""}",
